Subject,ROI,Cluster,ACW_s,ACW_grand_mean_s,Condition
sub-001,bankssts-lh,1,0.016410614525139665,0.020702728224987303,EO
sub-001,bankssts-rh,1,0.017719972067039107,0.020702728224987303,EO
sub-001,caudalmiddlefrontal-lh,3,0.014708449720670392,0.020702728224987303,EO
sub-001,caudalmiddlefrontal-rh,3,0.0145338687150838,0.020702728224987303,EO
sub-001,cuneus-lh,1,0.031773743016759774,0.020702728224987303,EO
sub-001,cuneus-rh,1,0.0245286312849162,0.020702728224987303,EO
sub-001,frontalpole-lh,3,0.01383554469273743,0.020702728224987303,EO
sub-001,frontalpole-rh,3,0.008336243016759776,0.020702728224987303,EO
sub-001,fusiform-lh,1,0.015232192737430168,0.020702728224987303,EO
sub-001,fusiform-rh,1,0.03129364525139665,0.020702728224987303,EO
sub-001,inferiorparietal-lh,2,0.08825069832402235,0.020702728224987303,EO
sub-001,inferiorparietal-rh,2,0.028456703910614525,0.020702728224987303,EO
sub-001,inferiortemporal-lh,1,0.014010125698324022,0.020702728224987303,EO
sub-001,inferiortemporal-rh,1,0.0167161312849162,0.020702728224987303,EO
sub-001,insula-lh,4,0.009863826815642457,0.020702728224987303,EO
sub-001,insula-rh,4,0.012089734636871508,0.020702728224987303,EO
sub-001,lateraloccipital-lh,1,0.02391759776536313,0.020702728224987303,EO
sub-001,lateraloccipital-rh,1,0.021298882681564244,0.020702728224987303,EO
sub-001,lingual-lh,1,0.02435405027932961,0.020702728224987303,EO
sub-001,lingual-rh,1,0.032341131284916204,0.020702728224987303,EO
sub-001,middletemporal-lh,1,0.015625,0.020702728224987303,EO
sub-001,middletemporal-rh,1,0.01924755586592179,0.020702728224987303,EO
sub-001,parsopercularis-lh,3,0.008859986033519554,0.020702728224987303,EO
sub-001,parsopercularis-rh,3,0.0078125,0.020702728224987303,EO
sub-001,parsorbitalis-lh,3,0.008990921787709497,0.020702728224987303,EO
sub-001,parsorbitalis-rh,3,0.009863826815642457,0.020702728224987303,EO
sub-001,parstriangularis-lh,3,0.00803072625698324,0.020702728224987303,EO
sub-001,parstriangularis-rh,3,0.00803072625698324,0.020702728224987303,EO
sub-001,pericalcarine-lh,1,0.022651885474860335,0.020702728224987303,EO
sub-001,pericalcarine-rh,1,0.03775314245810056,0.020702728224987303,EO
sub-001,posteriorcingulate-lh,2,0.01920391061452514,0.020702728224987303,EO
sub-001,posteriorcingulate-rh,2,0.021037011173184357,0.020702728224987303,EO
sub-001,precentral-lh,3,0.015581354748603352,0.020702728224987303,EO
sub-001,precentral-rh,3,0.015581354748603352,0.020702728224987303,EO
sub-001,precuneus-lh,2,0.02230272346368715,0.020702728224987303,EO
sub-001,precuneus-rh,2,0.029591480446927373,0.020702728224987303,EO
sub-001,rostralmiddlefrontal-lh,3,0.011784217877094973,0.020702728224987303,EO
sub-001,rostralmiddlefrontal-rh,3,0.009034567039106146,0.020702728224987303,EO
sub-001,superiorfrontal-lh,3,0.015799581005586594,0.020702728224987303,EO
sub-001,superiorfrontal-rh,3,0.01937849162011173,0.020702728224987303,EO
sub-001,superiorparietal-lh,2,0.02614350558659218,0.020702728224987303,EO
sub-001,superiorparietal-rh,2,0.0301588687150838,0.020702728224987303,EO
sub-001,supramarginal-lh,2,0.020120460893854747,0.020702728224987303,EO
sub-001,supramarginal-rh,2,0.04866445530726257,0.020702728224987303,EO
sub-002,bankssts-lh,1,0.1000225360576923,0.05630429141171329,EO
sub-002,bankssts-rh,1,0.03594501201923077,0.05630429141171329,EO
sub-002,caudalmiddlefrontal-lh,3,0.1583533653846154,0.05630429141171329,EO
sub-002,caudalmiddlefrontal-rh,3,0.06884765625,0.05630429141171329,EO
sub-002,cuneus-lh,1,0.041165865384615384,0.05630429141171329,EO
sub-002,cuneus-rh,1,0.034104567307692304,0.05630429141171329,EO
sub-002,frontalpole-lh,3,0.03981370192307692,0.05630429141171329,EO
sub-002,frontalpole-rh,3,0.024263822115384616,0.05630429141171329,EO
sub-002,fusiform-lh,1,0.06227463942307692,0.05630429141171329,EO
sub-002,fusiform-rh,1,0.050405649038461536,0.05630429141171329,EO
sub-002,inferiorparietal-lh,2,0.11560997596153846,0.05630429141171329,EO
sub-002,inferiorparietal-rh,2,0.13844651442307693,0.05630429141171329,EO
sub-002,inferiortemporal-lh,1,0.027418870192307692,0.05630429141171329,EO
sub-002,inferiortemporal-rh,1,0.013258713942307692,0.05630429141171329,EO
sub-002,insula-lh,4,0.036245492788461536,0.05630429141171329,EO
sub-002,insula-rh,4,0.01720252403846154,0.05630429141171329,EO
sub-002,lateraloccipital-lh,1,0.06757061298076923,0.05630429141171329,EO
sub-002,lateraloccipital-rh,1,0.038010817307692304,0.05630429141171329,EO
sub-002,lingual-lh,1,0.033841646634615384,0.05630429141171329,EO
sub-002,lingual-rh,1,0.04563551682692308,0.05630429141171329,EO
sub-002,middletemporal-lh,1,0.024752103365384616,0.05630429141171329,EO
sub-002,middletemporal-rh,1,0.05254657451923077,0.05630429141171329,EO
sub-002,parsopercularis-lh,3,0.013897235576923076,0.05630429141171329,EO
sub-002,parsopercularis-rh,3,0.02110877403846154,0.05630429141171329,EO
sub-002,parsorbitalis-lh,3,0.016639122596153848,0.05630429141171329,EO
sub-002,parsorbitalis-rh,3,0.036959134615384616,0.05630429141171329,EO
